"","Theme","Category","Source","Valence_mean_men","Valence_SD_men","Valence_N_men","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_women","Arousal_SD_women","Arousal_N_women"
"I596","Paper 2","2","Pixabay","4.03448275862069","0.322572839122616","58","4.16279069767442","0.687654140578142","43","2.04081632653061","1.33789610448441","49","1.84905660377358","1.52411672295659","53"
"I597","Paper 3","2","Pixabay","4.22222222222222","0.670443845146593","45","4.25","0.792005509622709","56","1.73469387755102","1.07578479500784","49","1.90384615384615","1.302480520115","52"
"I598","Paper 4","2","Pixabay","4.1551724137931","0.615636146184423","58","4","0.218217890235992","43","2.08163265306122","1.56573644405593","49","1.69811320754717","1.38098217083652","53"
"I599","Paper 5","2","Pixabay","4.15909090909091","0.607824248549476","44","4.51724137931035","1.12766455305761","58","2.40425531914894","1.3458402009297","47","2.13461538461538","1.29900182121634","52"
"I600","Paperclips 1","2","Pixabay","4","0.304997140665209","44","3.98275862068966","0.545841674569018","58","2.19148936170213","1.36155757789667","47","1.80769230769231","1.32898990890785","52"
"I601","Paperclips 2","2","Pixabay","4.37777777777778","0.747386017119573","45","4.75","0.958218043131008","56","2.3469387755102","1.56193016820219","49","2.32692307692308","1.4648984953948","52"
"I602","Paperclips 3","2","Pixabay","4","0.373543683818814","44","4.08620689655172","0.539150818941823","58","2.06382978723404","1.3894674506748","47","1.61538461538462","1.10531418927542","52"
"I603","Paperclips 4","2","Pixabay","4.06896551724138","0.49068762942148","58","4.06976744186047","0.506874119679081","43","2.3265306122449","1.49147235841579","49","1.86792452830189","1.34504412065262","53"
"I604","Parachuting 1","4","Pixabay","5.02272727272727","1.1099682870734","44","5.20689655172414","0.968967993055936","58","4.34042553191489","1.27307562780715","47","4.78846153846154","1.6370290936308","52"
"I605","Parachuting 2","3","Wikipedia","5.26666666666667","1.17550762729052","45","5.57142857142857","0.931414229831426","56","4.57142857142857","1.44337567297406","49","4.11538461538461","1.77845324020673","52"
"I606","Parachuting 3","3","Wikipedia","5.20689655172414","1.07211253483779","58","5.62790697674419","1.34559697875548","43","4.53061224489796","1.76896910676254","49","5.0188679245283","1.72638535271438","53"
"I607","Parachuting 4","3","Wikipedia","5.06818181818182","1.10806194253703","44","4.60344827586207","1.15378332929623","58","5.08510638297872","1.52984493721256","47","5.30769230769231","1.57851334300896","52"
"I608","Parade 1","3","Pixabay","5.57894736842105","1.05131496607569","57","5.72549019607843","0.939753826755689","51","3.06122448979592","1.40546794202302","49","3.85454545454545","1.60344746438534","55"
"I609","Parasailing 1","4","Pixabay","5.57777777777778","1.01105005920687","45","5.73214285714286","1.03556873137547","56","4.18367346938776","1.58998780639658","49","3.75","1.64346596927252","52"
"I610","Parasailing 2","3","Pixabay","5.12068965517241","1.12511342440922","58","5.13953488372093","1.30167283119394","43","4.24489795918367","1.60117941224714","49","4.47169811320755","1.88724232662884","53"
"I611","Parasailing 3","4","Pixabay","5.06896551724138","0.988744888700027","58","5.23255813953488","1.34230096161007","43","4.24489795918367","1.52110995993192","49","4.30188679245283","1.80368112545489","53"
"I612","Parasailing 4","4","Pixabay","5.36842105263158","1.20462766843074","57","5.23529411764706","1.32042773818362","51","4.08163265306122","1.82387790497196","49","4.30909090909091","1.74135672173258","55"
"I613","Party 1","3","Pixabay","4.48888888888889","1.01404281383126","45","4.55357142857143","0.851087921046145","56","3.24489795918367","1.36214616575122","49","2.65384615384615","1.44010641470386","52"
"I614","Path 1","4","Pixabay","4.6","0.962950012862935","45","4.98214285714286","1.03556873137547","56","2.57142857142857","1.51382517704875","49","2.88461538461538","1.86457003563768","52"
"I615","Penguins 1","1","Pixabay","5.44827586206897","0.920953239819186","58","5.95348837209302","1.02245010058922","43","3.6530612244898","1.61440159718913","49","3.83018867924528","1.6494270457041","53"
"I616","Penguins 2","1","Pixabay","5.98275862068965","0.847936179954162","58","6.51162790697674","0.827275880259905","43","4.36734693877551","1.84496925845008","49","4.90566037735849","1.62035313035576","53"
"I617","Performance 1","4","Pixabay","5.41379310344828","1.15522433089355","58","5.7906976744186","0.965059572177597","43","4","1.68325082306035","49","3.79245283018868","1.73602652591882","53"
"I618","Performance 2","4","Pixabay","4.96491228070175","1.23873368924971","57","4.41176470588235","1.15198039198999","51","3.12244897959184","1.77520718346273","49","3.81818181818182","1.78565175455691","55"
"I619","Phone 1","2","Pixabay","4.5","0.821229934093469","44","4.51724137931035","0.842747788754557","58","2.5531914893617","1.29897134282909","47","2.26923076923077","1.47016585186021","52"
"I620","Picnic 1","3","Pixabay","5.82758620689655","1.02833421822276","58","6.37209302325581","1.06956279038176","43","3.48979591836735","1.79260574978149","49","3.94339622641509","1.71436346495878","53"
"I621","Picnic 2","3","Pixabay","5.80701754385965","1.07634627479178","57","6.01960784313725","1.02937254827261","51","3.3265306122449","1.73670851399567","49","3.6","1.60554594383897","55"
"I622","Picnic 3","3","Pixabay","4.57894736842105","1.19444201588998","57","4.50980392156863","1.18949651566716","51","2.83673469387755","1.65008760847606","49","3.65454545454545","1.60113596038449","55"
"I623","Picnic 4","3","Pixabay","4.91379310344828","0.960345017654624","58","5.18604651162791","1.15996334000955","43","3.02040816326531","1.47887620507329","49","3.39622641509434","1.54844366830189","53"
"I624","Pig 1","1","Wikipedia","4.5","0.902193708896317","44","4.56896551724138","1.20105317768706","58","3.19148936170213","1.56924653579409","47","3.34615384615385","1.66726987575868","52"
"I625","Pig 2","1","Wikipedia","4.43859649122807","1.29583872259918","57","4.98039215686275","1.22458476355753","51","3","1.73205080756888","49","3.38181818181818","1.77941843486291","55"
"I626","Pigeon 1","1","Pixabay","4.48888888888889","0.894991676503252","45","4.625","1.10474184561577","56","2.3265306122449","1.35995948318998","49","2.51923076923077","1.68604868879741","52"
"I627","Pigeon 2","1","Pixabay","4.53333333333333","0.868645758952091","45","4.55357142857143","0.989391784833543","56","2.3469387755102","1.3927045093415","49","2.21153846153846","1.39095873920759","52"
